"modelName","serialNumber","inspectionDate","hoursPerWeek","hourMeterReading","TrackLinkInstalledDate","TrackLinkWornValueLeft","TrackLinkWornValueRight"
"D6NLGP","PBA01994","2017-12-20","40","4312","""""","57","67"
"330DL","MWP00562","2017-10-17T00:00:00-0500","40","15583","""2017-10-27T00:00:00Z""","14","14"
"D11T","JEL00260","2017-10-31T12:56:11-0600","140","32227","""2016-04-13T00:00:00Z""","<0","<0"
"336FLH","RKB00452","2017-12-05","40","5701","""2017-09-26T00:00:00Z""","25","47"
"D6KLGP","DHA00969","2017-04-21T10:04:56-0400","40","7284","""2017-04-21T00:00:00-0400""","0","0"
"D6R","3ZN00538","2017-10-04T15:28:33-0600","40","11549","""1997-10-19T18:00:00-0600""","46","44"
"D6K2LGP","RST01761","2016-03-14T14:31:59-0400","40","71.9","""2015-12-18T00:00:00-0500""","0","0"
"D5KIILGP","YYY01036","2018-02-15","40","","""2017-02-23T18:00:00-0600""","",""
"D11T","GEB00699","2018-06-05","104.87","20644","""""","23","28"
"D5KLGP","YYY00777","2017-12-20","40","7502","""""","<0","<0"
"D6TXL","GCT02121","2017-09-08","40","3362","""2016-12-08""","22","22"
"D6TXL","FD300453","2017-12-11","40","3256","""2015-05-07""","37",""
"D9R","ABK00928","2018-03-22","40","","""""","36","35"
"322BL","1YS00507","2018-05-23","40","10111","""""","<0","<0"
"313BCR","BAS00350","2018-04-23","40","2335","""""","9","14"
"963C","BBD00919","2018-04-25","40","13946","""""","76","76"
"D6NXL","PER00607","2017-06-08","12","2238","""2014-06-11T00:00:00Z""","39","49"
"D6TXW","SLJ01290","2017-11-13","40","7782","""2016-06-09T00:00:00-0400""","--",""
"D6NLGP","PBA01942","2018-04-12","40","8599","""2016-11-30T00:00:00-0500""","33","36"
"D6KIILGP","RST02166","2017-08-15T09:47:58-0500","40","1817","""2017-05-16T13:44:30-0500""","37","35"
"D6KLGP","DHA02022","2017-09-19T11:36:21-0500","40","","""2017-02-08T18:00:00-0600""","42","42"
"390DL","WBT00273","2018-05-25","191.78","16010","""""","71","71"
"D8T","FMC00378","2017-09-26T13:56:25-0500","40","11639","""2015-03-03T00:00:00Z""","69","64"
"D7RII","AGN01813","2018-01-24","40","9000","""""","10","15"
"D7RII","AEC02410","2017-09-19","40","8366","""2010-12-10T00:00:00Z""","46","48"
"D7RII","AEC02410","2017-09-19","40","8366","""2010-12-10T00:00:00Z""","",""
"D7H","5BF05968","2018-01-04","40","1280","""""","66","60"
"320D","A8F01587","2018-03-09","40","10275","""""","50","46"
"D9R","7TL01407","2017-02-10","30","30930","""""","21","21"
"D8LSA","53Y02022","2017-08-31T00:00:00-0600","","16757","""2007-03-28T00:00:00Z""","32","25"
"D6KIIXL","DFR00289","2018-05-04","40","1549","""""","<0","<0"
"D10T","RJG04571","2018-05-24","118.14","33063","""""","6","2"
"D8T","FCT01165","2018-03-12","40","3776","""2014-12-31T00:00:00Z""","30","28"
"D4GLGP","BYR01451","2018-06-21","40","1288","""""","40","40"
"D9T","RJS00486","2017-07-20","40","","""""","35","37"
"321DLCR","MPG00987","2018-02-25","40","4695","""2014-05-20T00:00:00-0400""","32","32"
"D5KIILGP","KYY00274","2017-02-14T00:00:00Z","40","5546","""2016-07-31T00:00:00-0400""","78","78"
"D5KIILGP","KYY1670","2017-05-02T10:28:48-0400","20","3385","""2015-05-13T00:00:00-0400""","24","30"
"D6TXL","GCT02290","2017-05-03T00:00:00-0500","40","3440","""2014-12-20T00:00:00-0500""","<0","<0"
"D65","D6580380","2018-04-02","40","","""""","",""
"312CL","FDS00651","2018-02-19","40","8125","""""","22","31"
"336F","RKB00958","2018-02-06","40","3509","""""","31","31"
